20240827	17:04:52	8c3dc8a3-134f-42ef-a7be-249e557bdd3a	/new-page.html	GET
20240827	17:04:52	1df652c4-efde-4930-88d9-62306f9f8479	/css/style.css	GET
20240827	17:04:52	04c17ba4-ac21-45f6-9862-799aca3dd1eb	/img/img1.jpg	GET
20240827	17:04:52	a8c7f07c-05a6-4f46-a4c7-e0213c5e4d1e	/favicon.ico	GET
20240828	15:39:38	acd7257d-9148-444e-9727-de31eabafb71	GET	undefined	/css/style.css
20240828	15:39:43	a44bd400-a742-49a0-917d-fd64fd362907	GET	undefined	/subdir/dave
20240828	15:39:43	2955e9c6-0833-4c66-a2ac-1ff69fa109f5	GET	undefined	/css/style.css
20240828	15:44:42	dcfd1831-d0fa-4f2a-b06d-3de704f4be93	GET	undefined	/subdir/dave
20240828	15:44:43	fef57306-3195-4063-871d-3a7f71ff0034	GET	undefined	/css/style.css
20240828	15:44:47	f5204230-f94b-432c-a59b-5ee8d21a6794	GET	undefined	/
20240828	15:44:47	c7899669-061f-4382-89cd-bd026dcffadf	GET	undefined	/css/style.css
20240828	15:44:51	4cdf696e-c5bb-4df6-ab1e-56f6769e03ab	GET	undefined	/new-page.html
20240828	15:44:51	5186f46d-d4e9-4f46-903a-2c095064d2e8	GET	undefined	/css/style.css
20240828	15:44:51	b24a2e39-fff8-4c5f-806b-770384443c0b	GET	undefined	/img/img1.jpg
20240828	15:45:16	f2be8040-7738-4c00-b496-5c2dd1819081	GET	undefined	/index
20240828	15:45:16	8bab7447-ad19-4d49-993a-c34190bee5da	GET	undefined	/css/style.css
20240828	15:45:19	42271875-e8f8-428b-97ef-715ae00161ec	GET	undefined	/old-page
20240828	15:45:19	24b698d8-0667-450e-917f-953662056be4	GET	undefined	/new-page
20240828	15:45:19	016f9946-ccef-4b55-ab92-6f40984e15c9	GET	undefined	/css/style.css
20240828	15:45:19	ec59ad63-ce45-431a-9149-3fd8c4a88e21	GET	undefined	/img/img1.jpg
20240828	16:04:41	1fa3b588-e892-49a3-a10f-990cb78a7175	GET	undefined	/employees
20240828	16:05:06	ae64ce8f-6fe3-48ef-b70a-2482deeb676b	POST	undefined	/employees
20240828	16:05:58	a21e5504-9a33-49f1-990b-65b1310eea07	POST	undefined	/employees
20240828	16:07:03	90f3926c-b04d-4c60-852c-990656d7aa5c	PUT	undefined	/employees
20240828	16:07:56	d9315e04-76d0-472b-be13-482f1292010f	DELETE	undefined	/employees
20240828	16:09:02	b1958349-cb2f-4ab9-8341-b2b40b705b9e	DELETE	undefined	/employees
20240828	16:09:03	2341f924-b2d9-48a6-b9fe-075b9f1ea850	DELETE	undefined	/employees
20240828	16:09:04	810e2151-4d27-4c41-9ab2-fba211c1883b	DELETE	undefined	/employees
20240828	16:09:05	ba8a38f2-7d7d-4ee2-ad46-fe7db9ec1b1d	DELETE	undefined	/employees
20240828	16:10:28	0ed3f8e5-29f7-4c79-a975-b2f3ee997dac	DELETE	undefined	/employees
20240828	16:10:29	0496bb5e-cb33-4113-b652-e5e54a858032	DELETE	undefined	/employees
20240828	16:10:31	ffcdbbcd-2c88-42ab-bdaf-edbfc4544f9a	DELETE	undefined	/employees
20240828	16:10:51	b9be9fa3-8313-4017-bad5-72ca36138a1c	DELETE	undefined	/employees
20240828	16:10:52	013d7c52-ce98-4307-9450-767415b05831	DELETE	undefined	/employees
20240828	16:10:52	9a05b776-27a8-40bb-a68d-f2a88d1cfec0	DELETE	undefined	/employees
20240828	16:10:52	89ca9547-127d-47a3-a169-94ac2d59b00c	DELETE	undefined	/employees
20240828	16:11:18	e00b471d-9747-4661-912a-581c521a82bb	DELETE	undefined	/employees
20240828	16:11:19	f6ae5672-8f3d-4e75-8fed-271d28c6f94d	DELETE	undefined	/employees
20240828	16:11:19	1903fbfc-2fc7-478d-ace4-8d9ae21b4622	DELETE	undefined	/employees
20240828	16:11:19	7314069d-20e1-4a59-9e70-8cb18ee3b1a6	DELETE	undefined	/employees
20240828	16:11:19	a06de82f-9854-4e0f-a7c1-61d10dad5942	DELETE	undefined	/employees
20240828	16:11:20	4257b03f-758f-44e3-b298-73fac3c33c8c	DELETE	undefined	/employees
20240828	16:11:20	23e20155-e452-47b1-a572-21bfc6ea25ce	DELETE	undefined	/employees
20240828	16:11:25	f3ae90ce-f3a9-4e56-b859-5e7869ff783b	DELETE	undefined	/employees
20240828	16:12:08	fa7a2695-2d3b-424f-b770-5fe4f4106a28	DELETE	undefined	/employees
20240828	16:12:10	6b4e0c5c-feaf-4cd2-996b-1bd95be7a7c2	DELETE	undefined	/employees
20240828	16:12:51	6812cf6c-b15b-4318-9bcd-c8a94f1763ad	GET	undefined	/employees/1
20240828	16:13:06	bb0236d4-5e5f-4383-97d9-42afe99f7c07	GET	undefined	/employees/1
